label,Auxiliary (CPU+Mem),Auxiliary (Network),Auxiliary (Storage),Primary (CPU+Mem),Primary (Network),Primary (Storage),Total,Total Change (%)
Baseline,10.959424166666667,11.616529083749999,4.152954385528766,58.21519166666667,8.475487334999999,0.044227171594520547,93.46381380920661,0.0
Scrape 30s,11.058786666666668,11.82974159625,4.155348016323286,58.37269583333333,8.503126192499998,0.044922504065753426,93.96462080913902,0.54
Scrape 5s,12.144499166666668,13.8259523925,4.364897534186301,56.82374,8.485739053124998,0.050146015035616436,95.6949741615136,2.39
5%,12.665380833333334,14.010531584999999,4.34635814838904,58.05471333333333,8.433451273125,0.049359313709589035,97.5597944868903,4.38
10%,14.656540833333334,17.07477693,4.594684175473972,57.691273333333335,8.478555271875,0.0521747133369863,102.54800525735261,9.72
50%,27.158881666666666,40.9669207125,6.474667050953423,54.44723583333334,8.447947245,0.05239461803835615,137.54804712649178,47.17
Istio,25.568477500000004,11.795393859375002,3.4824150483616436,53.78283583333333,8.866453524375,0.0521700674630137,103.54774583290799,10.79
