label,Auxiliary,Primary,Total
Baseline,0.02672890763594543,0.06673490617326118,0.09346381380920661
Scrape 30s,0.027043876279239952,0.06692074452989907,0.09396462080913903
Scrape 5s,0.03033534909335297,0.0653596250681606,0.09569497416151357
5%,0.031022270566722375,0.06653752392016793,0.09755979448689031
10%,0.036326001938807306,0.06622200331854532,0.10254800525735262
50%,0.07460046943012008,0.06294757769637169,0.13754804712649177
Istio,0.040846286407736646,0.06270145942517134,0.10354774583290799
