report,label,time_normalized_rounded,prometheus_scrape_amount
report_2025-07-16_22-01-34.yaml,Base Persistence,2400.0,5675371
report_2025-07-16_22-01-34.yaml,Base Persistence,2430.0,5817259
report_2025-07-16_22-01-34.yaml,Base Persistence,2460.0,5817259
report_2025-07-16_22-01-34.yaml,Base Persistence,2490.0,5959147
report_2025-07-16_22-01-34.yaml,Base Persistence,2520.0,5959147
report_2025-07-16_22-01-34.yaml,Base Persistence,2550.0,6101035
report_2025-07-16_22-01-34.yaml,Base Persistence,2580.0,6101035
report_2025-07-16_22-01-34.yaml,Base Persistence,2610.0,6242923
report_2025-07-16_22-01-34.yaml,Base Persistence,2640.0,6242923
report_2025-07-16_22-01-34.yaml,Base Persistence,2670.0,6384811
report_2025-07-16_22-01-34.yaml,Base Persistence,2700.0,6384811
report_2025-07-16_22-01-34.yaml,Base Persistence,2730.0,6526699
report_2025-07-16_22-01-34.yaml,Base Persistence,2760.0,6526699
report_2025-07-16_22-01-34.yaml,Base Persistence,2790.0,6668587
report_2025-07-16_22-01-34.yaml,Base Persistence,2820.0,6668587
report_2025-07-16_22-01-34.yaml,Base Persistence,2850.0,6810475
report_2025-07-16_22-01-34.yaml,Base Persistence,2880.0,6810475
report_2025-07-16_22-01-34.yaml,Base Persistence,2910.0,6952363
report_2025-07-16_22-01-34.yaml,Base Persistence,2940.0,6952363
report_2025-07-16_22-01-34.yaml,Base Persistence,2970.0,7094251
report_2025-07-16_22-01-34.yaml,Base Persistence,3000.0,7094251
report_2025-07-16_22-01-34.yaml,Base Persistence,3030.0,7236139
report_2025-07-16_22-01-34.yaml,Base Persistence,3060.0,7236139
report_2025-07-16_22-01-34.yaml,Base Persistence,3090.0,7378027
report_2025-07-16_22-01-34.yaml,Base Persistence,3120.0,7378027
report_2025-07-16_22-01-34.yaml,Base Persistence,3150.0,7519915
report_2025-07-16_22-01-34.yaml,Base Persistence,3180.0,7519915
report_2025-07-16_22-01-34.yaml,Base Persistence,3210.0,7661803
report_2025-07-16_22-01-34.yaml,Base Persistence,3240.0,7661803
report_2025-07-16_22-01-34.yaml,Base Persistence,3270.0,7803691
report_2025-07-16_22-01-34.yaml,Base Persistence,3300.0,7803691
report_2025-07-16_22-01-34.yaml,Base Persistence,3330.0,7945579
report_2025-07-16_22-01-34.yaml,Base Persistence,3360.0,7945579
report_2025-07-16_22-01-34.yaml,Base Persistence,3390.0,8087467
report_2025-07-16_22-01-34.yaml,Base Persistence,3420.0,8087467
report_2025-07-16_22-01-34.yaml,Base Persistence,3450.0,8229102
report_2025-07-16_22-01-34.yaml,Base Persistence,3480.0,8229102
report_2025-07-16_22-01-34.yaml,Base Persistence,3510.0,8370990
report_2025-07-16_22-01-34.yaml,Base Persistence,3540.0,8370990
report_2025-07-16_22-01-34.yaml,Base Persistence,3570.0,8512878
report_2025-07-16_22-01-34.yaml,Base Persistence,3600.0,8512878
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,-0.0,0
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,30.0,793310
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,60.0,1585626
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,90.0,2378334
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,120.0,3169954
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,150.0,3963317
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,180.0,4755792
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,210.0,5548566
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,240.0,6339983
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,270.0,7133619
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,300.0,7924908
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,330.0,8717934
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,360.0,9509173
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,390.0,10302764
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,420.0,11094397
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,450.0,11888136
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,480.0,12680049
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,510.0,13472748
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,540.0,14265231
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,570.0,15057877
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,600.0,15849662
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,630.0,16643512
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,660.0,17435070
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,690.0,18228367
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,720.0,19020260
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,750.0,19814514
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,780.0,20605259
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,810.0,21398557
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,840.0,22189814
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,870.0,22982902
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,900.0,23774407
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,930.0,24567662
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,960.0,25359841
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,990.0,26152957
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1020.0,26944847
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1050.0,27736961
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1080.0,28529484
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1110.0,29322757
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1140.0,30114747
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1170.0,30907586
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1200.0,31699317
report_2025-07-16_23-16-11.yaml,Scrape 5s Persistence,1230.0,32492247
