report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,configfile_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,email_system-under-evaluation,exporter_system-under-evaluation,flagd_system-under-evaluation,flagd-ui_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,init-config_system-under-evaluation,istio-init_system-under-evaluation,istio-proxy_system-under-evaluation,jaeger-agent-sidecar_system-under-evaluation,jaeger-collector_system-under-evaluation,jaeger-query_system-under-evaluation,kafka_system-under-evaluation,master_system-under-evaluation,opensearch_system-under-evaluation,opentelemetry-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus-server_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,shipping_system-under-evaluation,valkey-cart_system-under-evaluation,wait-for-kafka_system-under-evaluation,wait-for-valkey-cart_system-under-evaluation,worker_system-under-evaluation
report_2025-07-16_22-01-34.yaml,Base Persistence,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,30.0,0.5040000000000049,25.307999999999993,149.2829999999999,0.0,0.0,0.0,51.66600000000017,0.0,0.4319999999999986,8.181000000000012,0.0,11.253000000000043,1024.0319999999992,178.962,7.607999999999947,0.0,0.0,,,0.03600000000000003,9.671999999999997,0.395999999999999,10.001999999999953,1.365000000000002,120.54899999999998,129.34500000000003,0.0,109.27200000000016,3.974999999999966,0.0,230.08799999999974,0.0,9.141000000000005,0.0,0.0,431.8590000000004
report_2025-07-16_22-01-34.yaml,Base Persistence,60.0,1.2600000000000051,47.74800000000005,293.1869999999999,0.0,0.0,0.0,77.77500000000009,0.0,0.9269999999999996,17.661,0.0,25.773000000000025,2043.2189999999991,357.42599999999993,15.704999999999984,0.0,0.0,,,0.07200000000000006,19.341000000000008,0.7889999999999997,24.656999999999925,2.702999999999996,302.81100000000015,256.52700000000004,0.14099999999999824,219.33300000000008,15.341999999999985,0.0,478.09799999999996,0.0,18.009,0.0,0.0,862.1820000000007
report_2025-07-16_22-01-34.yaml,Base Persistence,90.0,1.8569999999999993,68.76299999999992,439.53899999999976,0.0,0.0,0.0,139.39199999999983,0.0,1.241999999999999,26.628000000000014,0.0,29.26800000000003,3069.2039999999997,534.1590000000001,22.793999999999983,0.0,0.0,,,0.10799999999999965,28.662000000000006,1.1759999999999984,38.51999999999998,3.833999999999996,410.2109999999998,379.5719999999999,0.14099999999999824,325.317,19.97999999999996,0.0,718.482,0.0,27.153000000000006,0.0,0.0,1287.3690000000006
report_2025-07-16_22-01-34.yaml,Base Persistence,120.0,3.1170000000000044,92.96399999999994,590.223,0.1349999999999999,0.0,0.0,164.47800000000007,0.0,1.6229999999999993,34.875,0.0,42.25800000000004,4089.7199999999993,712.614,31.289999999999964,0.0,0.0,,,0.10799999999999965,37.331999999999994,1.568999999999999,51.88200000000006,5.012999999999998,573.7230000000004,507.57899999999995,1.125000000000007,432.37200000000007,37.257000000000005,0.0,966.7019999999998,0.0,36.426,0.0,0.0,1712.9310000000005
report_2025-07-16_22-01-34.yaml,Base Persistence,150.0,3.5789999999999935,115.596,738.2370000000001,0.1349999999999999,0.0,0.0,202.17299999999977,0.0,1.940999999999999,44.02800000000002,0.0,45.339000000000055,5118.053999999998,893.3489999999997,38.649,0.0,0.0,,,0.14399999999999968,45.009000000000015,2.033999999999999,62.618999999999915,6.314999999999998,685.3560000000002,632.637,1.125000000000007,544.6500000000001,41.07900000000001,0.0,1224.9599999999996,0.0,45.60600000000001,0.0,0.0,2144.0550000000003
report_2025-07-16_22-01-34.yaml,Base Persistence,180.0,4.2749999999999915,142.74900000000002,887.2919999999999,0.1349999999999999,0.0,0.0,223.94399999999996,0.0,2.315999999999999,52.18800000000002,0.0,49.028999999999996,6136.646999999999,1071.924,47.84099999999995,0.0,0.0,,,0.14399999999999968,53.58600000000001,2.3939999999999984,73.49099999999999,7.545000000000002,827.7090000000003,761.5290000000002,1.9349999999999952,655.1280000000002,53.07900000000001,0.0,1473.3929999999996,0.0,54.789,0.0,0.0,2568.0150000000003
report_2025-07-16_22-01-34.yaml,Base Persistence,210.0,4.838999999999999,167.1389999999999,1039.596,0.1349999999999999,0.0,0.0,256.1999999999998,0.0,2.6339999999999986,61.65300000000002,0.0,52.158000000000015,7169.121000000001,1253.649,55.66199999999998,0.0,0.0,,,0.14399999999999968,63.587999999999994,2.856,90.80700000000002,9.051000000000002,939.2459999999996,898.077,1.9349999999999952,771.0630000000001,57.52799999999996,0.0,1732.0440000000003,0.0,64.07100000000001,0.0,0.0,3005.562
report_2025-07-16_22-01-34.yaml,Base Persistence,240.0,5.622,195.72000000000003,1185.2730000000001,0.20099999999999996,0.0,0.0,288.57299999999987,0.0,3.705,70.119,0.0,56.375999999999976,8182.191000000001,1431.4229999999998,63.51899999999995,0.0,0.0,,,0.14399999999999968,75.15899999999999,3.3149999999999995,104.77199999999993,10.424999999999997,1088.9519999999998,1029.327,2.003999999999998,879.4320000000002,75.918,0.0,1968.7289999999998,0.0,73.092,0.0,0.0,3433.3860000000004
report_2025-07-16_22-01-34.yaml,Base Persistence,270.0,6.296999999999997,218.94000000000005,1337.478,0.20099999999999996,0.0,0.0,353.9549999999999,0.0,4.091999999999999,78.624,0.0,60.75300000000004,9199.974,1611.5639999999999,71.03099999999995,0.0,0.0,,,0.17999999999999972,85.93200000000002,3.7439999999999998,126.16800000000012,12.042000000000002,1200.2310000000002,1157.9640000000002,2.003999999999998,989.991,80.31,0.0,2203.908,0.0,82.605,0.0,0.0,3869.681999999999
report_2025-07-16_22-01-34.yaml,Base Persistence,300.0,7.128,244.90499999999997,1487.763,0.20099999999999996,0.0,0.0,382.1970000000001,0.0,4.542,87.189,0.0,64.09800000000007,10226.511,1791.2429999999995,78.399,0.0,0.0,,,0.21599999999999975,96.537,4.103999999999999,137.94900000000007,13.196999999999996,1340.2499999999995,1285.686,2.3129999999999953,1098.6750000000002,91.59899999999999,0.0,2446.23,0.0,91.956,0.0,0.0,4299.186
report_2025-07-16_22-01-34.yaml,Base Persistence,330.0,7.721999999999994,272.442,1632.9,0.20099999999999996,0.0,0.0,473.63099999999986,0.0,4.824,96.018,0.0,66.95100000000002,11231.919,1967.0820000000003,85.94099999999997,0.0,0.0,,,0.21599999999999975,105.381,4.526999999999999,231.8130000000001,14.451,1448.5800000000004,1405.287,2.3129999999999953,1208.841,96.73199999999997,0.0,2689.092,0.0,100.92900000000002,0.0,0.0,4719.402
report_2025-07-16_22-01-34.yaml,Base Persistence,360.0,8.450999999999993,293.3910000000001,1779.5700000000002,0.4049999999999999,0.0,0.0,492.86400000000003,0.0,5.315999999999999,105.24000000000001,0.0,70.48800000000006,12270.608999999999,2145.1859999999997,93.81299999999999,0.0,0.0,,,0.21599999999999975,115.22400000000002,4.92,243.83400000000006,15.813000000000002,1570.449,1530.6630000000002,2.4179999999999993,1318.3050000000003,116.53199999999998,0.0,2937.033,0.0,110.04299999999999,0.0,0.0,5147.733
report_2025-07-16_22-01-34.yaml,Base Persistence,390.0,8.882999999999996,314.51099999999997,1927.971,0.4049999999999999,0.0,0.0,544.2510000000002,0.0,5.724,114.357,0.0,80.65499999999997,13278.186,2323.7309999999998,102.71699999999998,0.0,0.0,,,0.21599999999999975,124.92599999999999,5.3519999999999985,253.31400000000008,16.991999999999997,1732.2509999999997,1656.3660000000002,2.4179999999999993,1429.353,121.70099999999996,0.0,3184.9829999999997,0.0,119.271,0.0,0.0,5577.182999999999
report_2025-07-16_22-01-34.yaml,Base Persistence,420.0,9.897000000000006,335.211,2067.8639999999996,0.4049999999999999,0.0,0.0,561.6030000000001,0.0,6.218999999999999,123.084,0.0,83.61300000000006,14257.602,2493.108,109.69199999999995,0.0,0.0,,,0.28200000000000003,133.44,5.687999999999999,264.9960000000001,18.104999999999997,1860.7230000000004,1778.262,2.5230000000000032,1531.902,132.372,0.0,3423.645,0.0,127.96500000000002,0.0,0.0,5977.884
report_2025-07-16_22-01-34.yaml,Base Persistence,450.0,10.310999999999993,355.6859999999999,2211.3959999999997,0.4049999999999999,0.0,0.0,583.9830000000002,0.0,6.561,132.264,0.0,86.02200000000005,15248.706,2666.883,117.95999999999998,0.0,0.0,,,0.28200000000000003,142.485,6.071999999999999,273.91200000000003,19.344,2003.601,1900.497,2.5230000000000032,1638.312,136.03499999999997,0.0,3662.5049999999997,0.0,136.788,0.0,0.0,6387.9
report_2025-07-16_22-01-34.yaml,Base Persistence,480.0,12.048000000000002,377.79600000000005,2350.683,0.4740000000000001,0.0,0.0,607.9589999999998,0.0,6.978,140.57999999999998,0.0,89.41499999999996,16252.059,2843.397,125.577,0.0,0.0,,,0.28200000000000003,150.57,6.419999999999998,284.0640000000001,20.717999999999996,2108.2949999999996,2024.343,2.7689999999999984,1747.632,155.676,0.0,3910.323,0.0,145.497,0.0,0.0,6806.571
report_2025-07-16_22-01-34.yaml,Base Persistence,510.0,12.524999999999991,399.057,2492.1539999999995,0.4740000000000001,0.0,0.0,638.076,0.0,7.325999999999999,148.863,0.0,91.86900000000003,17244.807,3017.367,133.428,0.0,0.0,,,0.28200000000000003,159.204,6.827999999999999,304.653,21.972,2242.0319999999997,2152.041,2.7689999999999984,1851.429,160.563,0.0,4150.956,0.0,154.15500000000003,0.0,0.0,7219.323
report_2025-07-16_22-01-34.yaml,Base Persistence,540.0,13.346999999999994,421.1490000000001,2639.754,0.4740000000000001,0.0,0.0,654.0749999999998,0.0,7.715999999999999,158.20800000000003,0.0,95.45100000000002,18285.845999999998,3196.572,140.577,0.0,0.0,,,0.31800000000000006,169.248,7.187999999999999,317.1690000000001,23.327999999999996,2371.3740000000003,2279.8590000000004,2.8740000000000023,1962.3270000000002,171.87,0.0,4406.616,0.0,163.272,0.0,0.0,7645.356
report_2025-07-16_22-01-34.yaml,Base Persistence,570.0,13.850999999999999,442.1189999999999,2791.251,0.4740000000000001,0.0,0.0,675.585,0.0,8.711999999999998,167.32800000000003,0.0,110.14200000000005,19315.070999999996,3377.424,149.034,0.0,0.0,,,0.31800000000000006,178.743,7.584,329.5920000000001,24.845999999999997,2500.056,2410.536,2.8740000000000023,2072.01,176.247,0.0,4636.623,0.0,172.584,0.0,0.0,8081.25
report_2025-07-16_22-01-34.yaml,Base Persistence,600.0,14.558999999999997,463.2180000000001,2941.7969999999996,0.7200000000000001,0.0,0.0,694.1880000000001,0.0,9.095999999999998,177.063,0.0,114.18000000000006,20353.485,3557.01,156.438,0.0,0.0,,,0.31800000000000006,188.502,7.98,339.47399999999993,26.106,2617.6829999999995,2535.885,3.0090000000000074,2183.571,195.411,0.0,4902.153,0.0,181.88100000000003,0.0,0.0,8511.297
report_2025-07-16_22-01-34.yaml,Base Persistence,630.0,15.093000000000004,483.45900000000006,3088.527,0.7200000000000001,0.0,0.0,721.0320000000002,0.0,9.438,186.726,0.0,116.69400000000007,21395.648999999998,3738.3810000000003,164.589,0.0,0.0,,,0.35399999999999965,198.882,8.445,352.779,27.680999999999997,2741.091,2658.75,3.0090000000000074,2297.199,199.353,0.0,5155.251,0.0,191.094,0.0,0.0,8944.641
report_2025-07-16_22-01-34.yaml,Base Persistence,660.0,15.986999999999995,504.58500000000004,3236.376,0.7200000000000001,0.0,0.0,743.181,0.0,9.863999999999999,194.94600000000003,0.0,121.23300000000006,22427.210999999996,3919.2029999999995,172.173,0.0,0.0,,,0.4259999999999997,208.71300000000002,8.840999999999998,361.9680000000001,29.304000000000002,2850.528,2789.325,3.1169999999999973,2405.202,212.12399999999997,0.0,5382.366,0.0,200.211,0.0,0.0,9374.712000000001
