report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,configfile_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,email_system-under-evaluation,exporter_system-under-evaluation,flagd_system-under-evaluation,flagd-ui_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,init-config_system-under-evaluation,istio-init_system-under-evaluation,istio-proxy_system-under-evaluation,jaeger-agent-sidecar_system-under-evaluation,jaeger-collector_system-under-evaluation,jaeger-query_system-under-evaluation,kafka_system-under-evaluation,master_system-under-evaluation,opensearch_system-under-evaluation,opentelemetry-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus-server_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,shipping_system-under-evaluation,valkey-cart_system-under-evaluation,wait-for-kafka_system-under-evaluation,wait-for-valkey-cart_system-under-evaluation,worker_system-under-evaluation
report_2025-07-16_22-01-34.yaml,Base Persistence,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
report_2025-07-16_22-01-34.yaml,Base Persistence,30.0,-3.686287386450715e-18,0.0001500000000000043,0.0015999999999999487,0.0,0.0,0.0,-0.0012500000000000462,0.0,4.336808689942018e-19,6.938893903907228e-18,0.0,0.0027499999999999855,-0.0038500000000009083,-0.00020000000000000573,0.00020000000000000746,0.0,0.0,,,5.000000000000004e-05,-0.00029999999999999645,-4.9999999999999155e-05,-0.001100000000000042,-0.00015000000000000018,0.0017000000000000764,0.00295000000000005,0.0,-5.000000000000837e-05,-0.0002999999999999973,0.0,-0.005599999999999966,0.0,4.999999999999449e-05,0.0,0.0,-4.999999999999449e-05
report_2025-07-16_22-01-34.yaml,Base Persistence,60.0,-0.00010000000000000373,0.00019999999999994675,-0.0009500000000000342,0.0,0.0,0.0,-0.0009000000000001507,0.0,5.000000000000002e-05,0.0003000000000000112,0.0,0.006500000000000009,-0.005050000000000443,-0.0003000000000001196,0.0001500000000000199,0.0,0.0,,,4.999999999999981e-05,-0.0010999999999999968,-5.0000000000001e-05,-0.00020000000000006644,1.951563910473908e-18,0.00920000000000011,0.0026000000000000467,-3.699839913606784e-18,0.0002500000000000002,-0.001899999999999998,0.0,-0.00539999999999996,0.0,-0.00020000000000000052,0.0,0.0,0.000300000000000189
report_2025-07-16_22-01-34.yaml,Base Persistence,90.0,-0.00010000000000000005,-0.0013499999999999936,-0.0020499999999999546,0.0,0.0,0.0,0.002449999999999855,0.0,5.000000000000002e-05,0.0004000000000000002,0.0,0.0040000000000000036,-0.005050000000000443,-0.001050000000000037,-9.999999999998899e-05,0.0,0.0,,,4.999999999999981e-05,-0.001249999999999995,-1.0842021724855044e-18,0.001099999999999983,-0.00010000000000000005,0.00489999999999996,0.00045000000000007534,-3.699839913606784e-18,-0.0008999999999999841,-0.0017500000000000076,0.0,-0.002449999999999841,0.0,-0.00025000000000000196,0.0,0.0,-0.0021499999999998187
report_2025-07-16_22-01-34.yaml,Base Persistence,120.0,0.0,-0.0006499999999999666,0.00010000000000000286,5.000000000000004e-05,0.0,0.0,0.0019999999999999567,0.0,4.336808689942018e-19,-4.999999999999449e-05,0.0,0.003500000000000014,-0.004050000000000442,-0.0009000000000000258,0.00010000000000000373,0.0,0.0,,,0.0,-0.0015499999999999915,8.673617379884035e-19,0.000549999999999962,-0.0002500000000000002,-0.0012499999999998068,0.0008500000000001007,0.00030000000000000024,-0.0016000000000000736,0.00020000000000000746,0.0,-0.002199999999999841,0.0,-5.00000000000023e-05,0.0,0.0,-0.00354999999999972
report_2025-07-16_22-01-34.yaml,Base Persistence,150.0,0.0,-5.00000000000049e-05,0.0005500000000000227,5.000000000000004e-05,0.0,0.0,-0.006049999999999993,0.0,0.0,6.938893903907228e-18,0.0,0.003350000000000009,-0.004549999999999943,4.999999999988347e-05,0.00015000000000000516,0.0,0.0,,,0.0,-0.0020999999999999977,8.673617379884035e-19,-0.0005000000000000195,-0.00014999999999999823,5.0000000000244293e-05,0.0013999999999999985,0.00030000000000000024,0.0003000000000000086,-5.00000000000023e-05,0.0,0.0036999999999999256,0.0,-9.999999999999679e-05,0.0,0.0,-0.0022499999999999742
report_2025-07-16_22-01-34.yaml,Base Persistence,180.0,-0.0001500000000000019,0.0008999999999999737,0.0,0.0,0.0,0.0,-0.0069500000000001436,0.0,0.0,0.0,0.0,0.00024999999999997984,-0.005150000000000987,0.0,0.0003000000000000112,0.0,0.0,,,0.0,-0.0020999999999999977,-1.0842021724855044e-18,-0.0014000000000000531,-0.00014999999999999823,-0.0074000000000000316,0.0016500000000000126,0.0002499999999999984,0.0013000000000000372,-0.0017500000000000076,0.0,0.0036499999999999033,0.0,-0.00010000000000000373,0.0,0.0,-0.0027500000000001967
report_2025-07-16_22-01-34.yaml,Base Persistence,210.0,-0.0001500000000000019,0.0014999999999999944,0.00129999999999994,0.0,0.0,0.0,-0.008600000000000087,0.0,4.336808689942018e-19,0.00010000000000000373,0.0,0.00034999999999998357,-0.003850000000000464,0.00029999999999989757,0.0005000000000000187,0.0,0.0,,,-5.000000000000004e-05,-0.0013499999999999988,-1.0842021724855044e-18,0.0007499999999999694,-0.00010000000000000005,-0.007500000000000034,0.005300000000000027,0.0002499999999999984,0.0024999999999999745,-0.0014999999999999979,0.0,0.003650000000000153,0.0,-7.806255641895632e-18,0.0,0.0,-0.0005999999999998784
report_2025-07-16_22-01-34.yaml,Base Persistence,240.0,-0.00010000000000000005,0.0019500000000000142,0.00010000000000000286,4.999999999999999e-05,0.0,0.0,-0.005150000000000075,0.0,0.00020000000000000063,0.00025000000000000196,0.0,0.0005999999999999933,-0.006250000000000533,-1.1102230246251565e-16,1.474514954580286e-17,0.0,0.0,,,-5.000000000000004e-05,-0.0003999999999999924,8.673617379884035e-19,0.0018500000000000114,0.0,-0.005249999999999949,0.006000000000000047,-3.699839913606784e-18,0.0018000000000000654,0.000500000000000003,0.0,0.0,0.0,-5.00000000000023e-05,0.0,0.0,0.00045000000000039453
report_2025-07-16_22-01-34.yaml,Base Persistence,270.0,-0.00010000000000000373,0.0016000000000000007,0.0001999999999998947,4.999999999999999e-05,0.0,0.0,0.005599999999999855,0.0,0.00019999999999999966,1.474514954580286e-17,0.0,0.0009000000000000045,-0.010000000000000897,-0.00020000000000011675,-9.999999999998899e-05,0.0,0.0,,,0.0,-9.999999999999593e-05,8.673617379884035e-19,0.003149999999999941,0.0,-0.005249999999999713,0.003550000000000081,-3.699839913606784e-18,0.00014999999999999736,0.0004500000000000016,0.0,-0.007650000000000046,0.0,9.999999999999593e-05,0.0,0.0,0.0004999999999999449
report_2025-07-16_22-01-34.yaml,Base Persistence,300.0,-0.00010000000000000373,0.000749999999999966,0.0018500000000000738,0.0,0.0,0.0,0.0042499999999999274,0.0,-4.87890977618477e-19,-4.9999999999987554e-05,0.0,0.0006500000000000247,-0.0041999999999997595,0.0006499999999999145,-0.00014999999999999129,0.0,0.0,,,5.000000000000004e-05,-0.0004499999999999947,-1.0842021724855044e-18,0.0025499999999999187,-0.00015000000000000018,-0.00809999999999983,0.0025500000000000383,4.999999999999819e-05,0.0002999999999998837,-0.0018499999999999966,0.0,-0.005499999999999949,0.0,0.00019999999999999966,0.0,0.0,0.0014999999999999458
report_2025-07-16_22-01-34.yaml,Base Persistence,330.0,-9.999999999999636e-05,0.002149999999999961,1.249000902703301e-16,0.0,0.0,0.0,0.013199999999999906,0.0,-4.999999999999959e-05,0.00010000000000000373,0.0,0.0001500000000000056,-0.006149999999999989,-0.00039999999999988656,-0.00019999999999999272,0.0,0.0,,,0.0,-0.0009999999999999861,-1.0842021724855044e-18,0.026649999999999945,-0.00019999999999999836,-0.008850000000000094,-9.999999999994735e-05,4.999999999999819e-05,0.00040000000000001146,-0.0015500000000000002,0.0,-0.0022500000000000853,0.0,6.938893903907228e-18,0.0,0.0,-0.002899999999999736
report_2025-07-16_22-01-34.yaml,Base Persistence,360.0,-0.00014999999999999823,0.00045000000000001636,-0.0012000000000001593,9.999999999999998e-05,0.0,0.0,0.01029999999999992,0.0,4.336808689942018e-19,0.0004000000000000002,0.0,0.00019999999999997797,-0.0032500000000004192,-0.0010000000000001535,-9.999999999998899e-05,0.0,0.0,,,-5.000000000000004e-05,-0.0011999999999999936,8.673617379884035e-19,0.02665,-5.000000000000013e-05,-0.014949999999999852,-0.0009499999999999786,0.0,0.0006000000000000172,0.001250000000000002,0.0,-0.0008500000000000174,0.0,-5.000000000000924e-05,0.0,0.0,-0.00359999999999977
