report,label,time_normalized_rounded,accounting_system-under-evaluation,ad_system-under-evaluation,cart_system-under-evaluation,checkout_system-under-evaluation,configfile_system-under-evaluation,copy-default-plugins_system-under-evaluation,currency_system-under-evaluation,elasticsearch_system-under-evaluation,elasticsearch-checker_system-under-evaluation,email_system-under-evaluation,flagd_system-under-evaluation,flagd-ui_system-under-evaluation,fraud-detection_system-under-evaluation,frontend_system-under-evaluation,frontend-proxy_system-under-evaluation,grafana_system-under-evaluation,image-provider_system-under-evaluation,init-config_system-under-evaluation,jaeger_system-under-evaluation,jaeger-agent-sidecar_system-under-evaluation,jaeger-collector_system-under-evaluation,jaeger-query_system-under-evaluation,kafka_system-under-evaluation,master_system-under-evaluation,opensearch_system-under-evaluation,opentelemetry-collector_system-under-evaluation,payment_system-under-evaluation,product-catalog_system-under-evaluation,prometheus-server_system-under-evaluation,quote_system-under-evaluation,recommendation_system-under-evaluation,shipping_system-under-evaluation,sysctl_system-under-evaluation,valkey-cart_system-under-evaluation,wait-for-kafka_system-under-evaluation,wait-for-valkey-cart_system-under-evaluation,worker_system-under-evaluation
report_2025-06-29_03-46-28.yaml,Baseline,-0.0,0.034199999999999876,0.6302999999999997,1.9851999999999994,0.0,0.0,,0.0,,,0.0,0.35869999999999985,0.0,0.12849999999999967,46.55795000000001,7.1701500000000005,0.19485000000000005,0.0,0.0,0.13034999999999997,,,,0.38119999999999926,0.03224999999999998,6.32385,5.054699999999999,0.003450000000000012,3.083999999999999,1.2528000000000001,0.0,11.444249999999995,0.0,,0.12269999999999998,0.0,0.0,17.68815
report_2025-06-29_03-46-28.yaml,Baseline,30.0,0.034800000000000136,0.6889499999999998,2.023900000000001,0.0,0.0,,0.0,,,0.0,0.3532999999999999,0.0,0.17980000000000018,46.32280000000001,7.1702999999999975,0.19695000000000012,0.0,0.0,0.11204999999999998,,,,0.3487000000000004,0.04165000000000004,6.624649999999996,5.011349999999997,0.003450000000000012,3.05945,1.175599999999999,0.0,11.500849999999998,0.0,,0.1251,0.0,0.0,17.58775
report_2025-06-29_03-46-28.yaml,Baseline,60.0,0.020950000000000083,0.6992999999999995,2.0254500000000006,0.0,0.0,,0.0,,,0.0,0.3615500000000002,0.0,0.17185000000000059,46.432849999999995,7.190749999999995,0.18399999999999986,0.0,0.0,0.13490000000000002,,,,0.344750000000001,0.04179999999999998,6.303650000000001,5.01825,0.003450000000000012,3.051950000000001,1.252199999999999,0.0,11.343200000000001,0.0,,0.12585000000000002,0.0,0.0,17.641350000000003
report_2025-06-29_03-46-28.yaml,Baseline,90.0,0.019950000000000044,0.6270999999999995,1.983699999999999,0.0,0.0,,0.0,,,0.0,0.36134999999999995,0.0,0.15960000000000035,46.67225000000001,7.213150000000003,0.19639999999999985,0.0,0.0,0.1346,,,,0.34134999999999993,0.031999999999999966,5.797550000000001,5.061250000000003,0.005549999999999973,3.028499999999999,1.2564999999999997,0.0,11.390349999999996,0.0,,0.12459999999999999,0.0,0.0,17.809200000000004
report_2025-06-29_03-46-28.yaml,Baseline,120.0,0.018099999999999974,0.6133500000000007,1.9625499999999987,0.0,0.0,,0.0,,,0.0,0.35055000000000003,0.0,0.20564999999999997,46.71204999999997,7.229900000000005,0.19595000000000007,0.0,0.0,0.11655000000000003,,,,0.3438000000000007,0.03254999999999999,5.803800000000001,5.072949999999999,0.005549999999999973,3.0417999999999985,1.1685500000000009,0.0,11.282299999999994,0.0,,0.12474999999999999,0.0,0.0,17.768
report_2025-06-29_03-46-28.yaml,Baseline,150.0,0.018599999999999995,0.6429499999999999,1.9870000000000003,0.0,0.0,,0.0,,,0.0,0.3547000000000002,0.0,0.16664999999999944,46.46640000000001,7.193050000000001,0.1952999999999998,0.0,0.0,0.15050000000000002,,,,0.34559999999999985,0.03549999999999998,6.088250000000001,5.054100000000002,0.004550000000000054,3.0855999999999995,1.1489000000000014,0.0,11.450300000000007,0.0,,0.125,0.0,0.0,17.636799999999994
report_2025-06-29_03-46-28.yaml,Baseline,180.0,0.020250000000000056,0.6871999999999995,2.0460000000000016,0.0,0.0,,0.0,,,0.0,0.3655499999999999,0.0,0.1260499999999998,46.54870000000004,7.2349000000000006,0.19785000000000016,0.0,0.0,0.14284999999999984,,,,0.33285000000000003,0.036949999999999976,5.877749999999999,5.073649999999998,0.004550000000000054,3.1166000000000014,1.2343,0.0,11.40965000000001,0.0,,0.12635000000000005,0.0,0.0,17.7093
report_2025-06-29_03-46-28.yaml,Baseline,210.0,0.0188,0.6623499999999998,2.0506999999999986,0.0,0.0,,0.0,,,0.0,0.37434999999999974,0.0,0.23050000000000068,46.545749999999984,7.238499999999999,0.19400000000000026,0.0,0.0,0.10930000000000012,,,,0.33215000000000144,0.03555000000000005,5.547599999999996,5.0596000000000005,0.0029499999999999934,3.1402000000000005,1.2736499999999997,0.0,11.398749999999987,0.0,,0.12660000000000005,0.0,0.0,17.729450000000007
report_2025-06-29_03-46-28.yaml,Baseline,240.0,0.0160999999999999,0.6306999999999997,2.0083000000000006,0.0014499999999999995,0.0,,0.0,,,0.0,0.3719500000000001,0.0,0.3588500000000001,46.420699999999975,7.2098499999999985,0.19160000000000016,0.0,0.0,0.11335000000000003,,,,0.33229999999999793,0.03200000000000003,5.876999999999998,5.0655000000000046,0.0029499999999999934,3.1506999999999987,1.2134500000000004,0.0,11.6477,0.0,,0.12494999999999999,0.0,0.0,17.725500000000004
report_2025-06-29_03-46-28.yaml,Baseline,270.0,0.017049999999999937,0.6256000000000009,2.023950000000002,0.0014499999999999995,0.0,,0.0,,,0.0,0.3606000000000004,0.0,0.24839999999999993,46.50554999999998,7.2086999999999986,0.1972999999999999,0.0,0.0,0.14659999999999987,,,,0.3306000000000002,0.03039999999999997,6.5461500000000035,5.061349999999993,0.00804999999999995,3.1255500000000023,1.1863500000000007,0.0,11.359650000000011,0.0,,0.12615000000000004,0.0,0.0,17.755249999999993
