PV_NAME,PVC,PATH,USAGE_BYTES
pvc-42c72287-66ad-490d-aecd-3c627a071e8f,system-under-evaluation/elasticsearch-pvc,/var/openebs/local/pvc-42c72287-66ad-490d-aecd-3c627a071e8f,733510830
pvc-655d83e6-851f-4d75-9b53-f985d55505a1,system-under-evaluation/prometheus,/var/openebs/local/pvc-655d83e6-851f-4d75-9b53-f985d55505a1,71858495
