PV_NAME,PVC,PATH,USAGE_BYTES
pvc-6118b69a-e18f-42cd-b667-9aa5a0cf9c29,system-under-evaluation/elasticsearch-pvc,/var/openebs/local/pvc-6118b69a-e18f-42cd-b667-9aa5a0cf9c29,248447654
pvc-741207f4-22d3-4a12-98e9-bad0207fadb7,system-under-evaluation/prometheus,/var/openebs/local/pvc-741207f4-22d3-4a12-98e9-bad0207fadb7,71395512
