PV_NAME,PVC,PATH,USAGE_BYTES
pvc-d25452b2-4a15-403b-a8c1-2390bbec85c8,system-under-evaluation/prometheus,/var/openebs/local/pvc-d25452b2-4a15-403b-a8c1-2390bbec85c8,124202848
pvc-f94ef779-b6fc-4304-b8b3-4b76154fa344,system-under-evaluation/elasticsearch-pvc,/var/openebs/local/pvc-f94ef779-b6fc-4304-b8b3-4b76154fa344,156449271
